,0,1,2,3,4,5,6,7,8,mean
lon,-46.5,-45.5,-44.5,-46.5,-45.5,-44.5,-46.5,-45.5,-44.5,-45.5
lat,-10.5,-10.5,-10.5,-11.5,-11.5,-11.5,-12.5,-12.5,-12.5,-11.5
1/1/1931 0:00,254.88,157.37,152.48,184.81,101.02,103.22,186.98,66.62,83.49,143.43
2/1/1931 0:00,255.55,126.83,122.37,245.38,133.51,110.05,256.68,167.68,157.8,175.0944444
3/1/1931 0:00,247.36,179.22,182.69,362.58,196.89,175.77,431.49,240.61,211.78,247.5988889
4/1/1931 0:00,63.21,52.2,45.5,71.53,27.35,37.95,75.24,17.38,36.96,47.48
5/1/1931 0:00,31.98,2.92,1.67,22.08,7.61,2.52,15.79,10.65,7.38,11.4
6/1/1931 0:00,0.02,0.64,0.56,1.43,0.14,0.34,2.57,0.31,0.21,0.691111111
7/1/1931 0:00,0,0,0.02,0.36,0.45,0.04,0.38,0.41,0.49,0.238888889
8/1/1931 0:00,0.27,0.13,0.34,0.04,0.34,0.09,0.33,0.4,0.88,0.313333333
9/1/1931 0:00,24.08,29.86,26.77,28.67,28.4,15.5,25.92,31.2,23.91,26.03444444
10/1/1931 0:00,136.24,90.49,78.73,71.7,85.2,78.26,73.42,73.49,97.26,87.19888889
11/1/1931 0:00,213.82,78.03,59.5,316.04,142.58,79.48,341.92,189.46,117.36,170.91
12/1/1931 0:00,136.57,66.83,73.03,170.68,94.77,61.08,192.58,131.17,97.86,113.8411111
1/1/1932 0:00,249.86,147.56,120.1,202,188.53,154.16,220,215.51,207.3,189.4466667
2/1/1932 0:00,202.08,168.23,161.2,208.91,156.52,96.7,227.6,192.49,140.65,172.7088889
3/1/1932 0:00,79.52,38.07,37.11,143.09,95.43,51.75,158.69,152.69,121.2,97.50555556
4/1/1932 0:00,29.66,27.91,16,46.56,25.65,33.5,45.85,27.4,45.77,33.14444444
5/1/1932 0:00,33.43,12.06,7.76,22.05,21.37,22.45,17.71,20.54,26.65,20.44666667
6/1/1932 0:00,0.12,0.73,0.55,1.41,0.6,0.54,2.21,1.42,0.89,0.941111111
7/1/1932 0:00,4.73,1.91,2.65,0.84,0.89,0.85,0.38,0.42,0.04,1.412222222
8/1/1932 0:00,1.14,0.13,0.34,0.15,0.34,0.09,0.33,0.4,0.85,0.418888889
9/1/1932 0:00,80.47,29.12,27.04,48.54,24.65,14.67,42.25,25.36,21.19,34.81
10/1/1932 0:00,119.58,79.23,63.85,130.18,109.37,61.19,135.85,132.73,119.83,105.7566667
11/1/1932 0:00,181.34,131.25,124.77,178.53,134.92,109.9,194.43,143.4,138.01,148.5055556
12/1/1932 0:00,218.42,83.93,76.83,236.58,130.22,125.34,255.45,150.61,108.34,153.9688889
1/1/1933 0:00,232.42,165.97,149.62,212.12,166.52,159.5,237.1,167.55,179.5,185.5888889
2/1/1933 0:00,180.03,209.88,212.53,176.58,135.13,140.12,195.38,114.89,98.1,162.5155556
3/1/1933 0:00,198.1,195.09,206.55,222.52,202.39,179.83,231.68,235.26,220.6,210.2244444
4/1/1933 0:00,134.5,108.21,86.23,167.8,133.94,136.67,169.08,144.3,150.22,136.7722222
5/1/1933 0:00,4.31,0.51,0.85,9.82,1.56,1.15,8.33,0.89,0.31,3.081111111
6/1/1933 0:00,0.12,0.97,0.56,1.33,0.84,3.12,2.11,0.46,1.53,1.226666667
7/1/1933 0:00,0,0,0.02,0.36,0.45,0.01,0.38,0.4,0.02,0.182222222
8/1/1933 0:00,0.27,0.13,0.34,0.04,0.34,0.09,0.33,0.4,0.86,0.311111111
9/1/1933 0:00,8.42,0.39,0,20.32,9.42,8.42,17.9,8.66,10.99,9.391111111
10/1/1933 0:00,64.72,73.11,62.01,47.34,74.4,46.28,53.42,78.22,84.52,64.89111111
11/1/1933 0:00,352.67,326.57,305.71,525.33,370.97,306.44,557.34,411.21,281.15,381.9322222
12/1/1933 0:00,260.96,176.23,180.92,315.53,211.66,162.88,334.66,259.12,210.45,234.7122222
1/1/1934 0:00,213.92,76.58,60.12,196.34,81.12,36.36,219.4,106.15,59.06,116.5611111
2/1/1934 0:00,181.53,81.34,75.53,237.26,90.36,64.76,257.62,113.8,69.23,130.1588889
3/1/1934 0:00,196.03,170.17,195.4,124.42,88.65,101.33,135.47,75.82,75.63,129.2133333
4/1/1934 0:00,96.76,104.31,96.75,95.48,79.73,72.9,94.12,84.2,89.67,90.43555556
5/1/1934 0:00,23.32,13.99,12.76,28.32,22.31,19.69,25.42,24.48,20.08,21.15222222
6/1/1934 0:00,0.25,1.41,1.49,1.18,0.14,0.59,1.97,0.32,0.21,0.84
7/1/1934 0:00,0,0,0.02,0.36,0.45,0.01,0.38,0.4,0.02,0.182222222
8/1/1934 0:00,0.27,0.13,0.34,0.04,0.34,0.09,0.33,0.4,0.85,0.31
9/1/1934 0:00,17.92,8.78,7.47,24.93,9.07,4.95,24.38,8.12,8.11,12.63666667
10/1/1934 0:00,30.56,27.29,17.05,25.31,40.8,20.47,28.97,43.84,56.62,32.32333333
11/1/1934 0:00,186.98,104.99,91.65,214.09,140.55,94.97,235.92,169.2,110.27,149.8466667
12/1/1934 0:00,242.97,160,153.12,320.01,226.7,193.25,348.05,270.93,205.77,235.6444444
1/1/1935 0:00,275.79,142.43,116.85,312.79,191.45,149,345.57,227.01,186.33,216.3577778
2/1/1935 0:00,170.17,120.04,110.69,248.72,144.2,135.16,278.18,161.48,136.16,167.2
3/1/1935 0:00,250.31,208.95,213.25,355.69,202.08,163.3,374.76,237.39,152.15,239.7644444
4/1/1935 0:00,171.19,126.73,118.04,201.55,119.19,113.58,206.52,127.96,106.35,143.4566667
5/1/1935 0:00,67.72,12.07,9.09,46.29,28.97,10.6,40.35,42.54,28.25,31.76444444
6/1/1935 0:00,0.25,1.41,1.49,1.3,0.11,0.59,2.1,0.32,0.22,0.865555556
7/1/1935 0:00,0.09,0.38,0.75,1.23,0.84,0.22,1.98,0.97,0.3,0.751111111
8/1/1935 0:00,11.44,0.13,0.34,1.17,0.34,0.09,0.33,0.4,0.85,1.676666667
9/1/1935 0:00,4.66,0.75,0,24.76,17.78,2.87,23.02,28.56,22.6,13.88888889
10/1/1935 0:00,81.1,20.63,10.43,94.77,36.19,6.57,105.22,45.46,26.22,47.39888889
11/1/1935 0:00,179.17,119.33,111.79,170.55,135.65,94.95,185.34,156.75,123.93,141.94
12/1/1935 0:00,191.58,137.73,133.49,258.08,197,154.38,281.4,244.78,197.14,199.5088889
1/1/1936 0:00,128.55,133.25,113.35,155.64,144.34,143.91,181.66,143.9,155.79,144.4877778
2/1/1936 0:00,431.75,390.51,388.13,426.93,351.28,344.91,438.35,348.27,320.23,382.2622222
3/1/1936 0:00,131.76,55.14,58.38,180.89,74.57,62.82,201.33,101.93,72.11,104.3255556
4/1/1936 0:00,173,92.34,78.72,264.1,127.03,85.36,268.37,169.59,111.74,152.25
5/1/1936 0:00,33.56,5.79,1.88,28.23,35.58,14,22.76,43.85,42.69,25.37111111
6/1/1936 0:00,0.12,0.68,0.56,1.29,0.08,0.35,2.1,0.31,0.28,0.641111111
7/1/1936 0:00,0,0,0.02,0.36,0.45,0.01,0.38,0.4,0.02,0.182222222
8/1/1936 0:00,0.28,0.23,0.66,0.04,0.32,0.14,0.33,0.4,0.99,0.376666667
9/1/1936 0:00,14.77,10.44,0.38,9.17,8.72,1.41,2.44,0.22,1.37,5.435555556
10/1/1936 0:00,94.13,75.52,87,81.95,68.84,58.93,84.03,59.19,94.14,78.19222222
11/1/1936 0:00,225.04,202.83,178.12,248.44,241.84,211.61,259.25,264.62,254.43,231.7977778
12/1/1936 0:00,175.53,101.7,158.37,291.48,151.87,116.88,337.8,222.14,162.88,190.9611111
1/1/1937 0:00,222.1,185.56,231.1,259.99,232.9,231.96,283.43,296.48,211.16,239.4088889
2/1/1937 0:00,308.98,305.28,188.27,235.35,256.9,182.49,210.97,200.7,199.54,232.0533333
