;Er (m)
1950-01-01 00:00:00;-0.0039134016
1950-02-01 00:00:00;-0.004016848
1950-03-01 00:00:00;-0.0034858265
1950-04-01 00:00:00;-0.003357318
1950-05-01 00:00:00;-0.0028351033
1950-06-01 00:00:00;-0.0015887162
1950-07-01 00:00:00;-0.0011226056
1950-08-01 00:00:00;-0.0009481229
1950-09-01 00:00:00;-0.0010921205
1950-10-01 00:00:00;-0.001800247
1950-11-01 00:00:00;-0.0035527195
1950-12-01 00:00:00;-0.0032602232
1951-01-01 00:00:00;-0.0035179823
1951-02-01 00:00:00;-0.003929891
1951-03-01 00:00:00;-0.0035179043
1951-04-01 00:00:00;-0.0034969654
1951-05-01 00:00:00;-0.002943838
1951-06-01 00:00:00;-0.0019745093
1951-07-01 00:00:00;-0.001351211
1951-08-01 00:00:00;-0.0011424492
1951-09-01 00:00:00;-0.0013215354
1951-10-01 00:00:00;-0.0010964491
1951-11-01 00:00:00;-0.0010482931
1951-12-01 00:00:00;-0.0028309205
1952-01-01 00:00:00;-0.0040722075
1952-02-01 00:00:00;-0.0038908087
1952-03-01 00:00:00;-0.0038277614
1952-04-01 00:00:00;-0.0033241531
1952-05-01 00:00:00;-0.0029270258
1952-06-01 00:00:00;-0.00154211
1952-07-01 00:00:00;-0.0010823272
1952-08-01 00:00:00;-0.0009710559
1952-09-01 00:00:00;-0.0010624905
1952-10-01 00:00:00;-0.0010645624
1952-11-01 00:00:00;-0.0029676727
1952-12-01 00:00:00;-0.0035385683
1953-01-01 00:00:00;-0.003868335
1953-02-01 00:00:00;-0.0035963226
1953-03-01 00:00:00;-0.0038701184
1953-04-01 00:00:00;-0.0034196533
1953-05-01 00:00:00;-0.0024133231
1953-06-01 00:00:00;-0.0012115086
1953-07-01 00:00:00;-0.0008757954
1953-08-01 00:00:00;-0.0007963283
1953-09-01 00:00:00;-0.0010642328
1953-10-01 00:00:00;-0.0020279696
1953-11-01 00:00:00;-0.0023691356
1953-12-01 00:00:00;-0.0032524061
1954-01-01 00:00:00;-0.003646597
1954-02-01 00:00:00;-0.0038380488
1954-03-01 00:00:00;-0.003403735
1954-04-01 00:00:00;-0.0034675985
1954-05-01 00:00:00;-0.0024723269
1954-06-01 00:00:00;-0.0013240624
1954-07-01 00:00:00;-0.0009344965
1954-08-01 00:00:00;-0.00078014575
1954-09-01 00:00:00;-0.0007731649
1954-10-01 00:00:00;-0.0007774662
1954-11-01 00:00:00;-0.0020863481
1954-12-01 00:00:00;-0.003839038
