,Date,Consistence_3_45726000,Data3_45726000
0,2023-01-01,1,1.8796
1,2023-01-02,1,2.1018
2,2023-01-03,1,2.234
3,2023-01-04,1,2.234
4,2023-01-05,1,2.1018
5,2023-01-06,1,2.1675
6,2023-01-07,1,2.1675
7,2023-01-08,1,2.1675
8,2023-01-09,1,1.972
9,2023-01-10,1,1.972
10,2023-01-11,1,1.8796
11,2023-01-12,1,1.8796
12,2023-01-13,1,1.8796
13,2023-01-14,1,1.8796
14,2023-01-15,1,1.8796
15,2023-01-16,1,1.7884
16,2023-01-17,1,1.8796
17,2023-01-18,1,1.8796
18,2023-01-19,1,2.0369
19,2023-01-20,1,1.972
20,2023-01-21,1,2.234
21,2023-01-22,1,2.3692
22,2023-01-23,1,2.5777
23,2023-01-24,1,2.6486
24,2023-01-25,1,2.6486
25,2023-01-26,1,2.6486
26,2023-01-27,1,2.6486
27,2023-01-28,1,2.6486
28,2023-01-29,1,2.3692
29,2023-01-30,1,2.234
30,2023-01-31,1,2.1675
31,2022-12-01,1,5.8526
32,2022-12-02,1,6.3427
33,2022-12-03,1,7.4729
34,2022-12-04,1,6.9504
35,2022-12-05,1,5.0089
36,2022-12-06,1,4.3878
37,2022-12-07,1,4.3017
38,2022-12-08,1,3.9637
39,2022-12-09,1,3.8808
40,2022-12-10,1,3.9637
41,2022-12-11,1,4.3017
42,2022-12-12,1,4.3878
43,2022-12-13,1,5.0089
44,2022-12-14,1,5.7564
45,2022-12-15,1,6.5429
46,2022-12-16,1,7.1576
47,2022-12-17,1,7.2621
48,2022-12-18,1,7.7932
49,2022-12-19,1,8.2283
50,2022-12-20,1,8.6723
51,2022-12-21,1,9.0111
52,2022-12-22,1,9.5868
53,2022-12-23,1,9.5868
54,2022-12-24,1,9.9386
55,2022-12-25,1,9.2398
56,2022-12-26,1,8.5605
57,2022-12-27,1,7.4729
58,2022-12-28,1,4.9183
59,2022-12-29,1,2.0369
60,2022-12-30,1,1.8339
61,2022-12-31,1,1.7884
62,2022-11-01,1,0.1599
63,2022-11-02,1,0.2085
64,2022-11-03,1,0.3143
65,2022-11-04,1,0.3423
66,2022-11-05,1,0.4905
67,2022-11-06,1,0.4905
68,2022-11-07,1,0.4905
69,2022-11-08,1,0.4905
70,2022-11-09,1,0.5852
71,2022-11-10,1,0.5852
72,2022-11-11,1,0.7517
73,2022-11-12,1,0.7517
74,2022-11-13,1,0.7517
75,2022-11-14,1,0.8387
76,2022-11-15,1,0.8919
77,2022-11-16,1,1.0007
78,2022-11-17,1,1.0191
79,2022-11-18,1,1.0749
80,2022-11-19,1,1.0749
81,2022-11-20,1,1.1886
82,2022-11-21,1,1.3918
83,2022-11-22,1,1.2652
84,2022-11-23,1,1.3493
85,2022-11-24,1,1.5213
86,2022-11-25,1,1.8796
87,2022-11-26,1,1.8796
88,2022-11-27,1,1.972
89,2022-11-28,1,3.5561
90,2022-11-29,1,4.5621
91,2022-11-30,1,4.8283
92,2022-10-01,1,0.1599
93,2022-10-02,1,0.1599
94,2022-10-03,1,0.1599
95,2022-10-04,1,0.1599
96,2022-10-05,1,0.1838
97,2022-10-06,1,0.1838
98,2022-10-07,1,0.1838
99,2022-10-08,1,0.1838
100,2022-10-09,1,0.1838
101,2022-10-10,1,0.1838
102,2022-10-11,1,0.1838
103,2022-10-12,1,0.1838
104,2022-10-13,1,0.1599
105,2022-10-14,1,0.1717
106,2022-10-15,1,0.1717
107,2022-10-16,1,0.1717
108,2022-10-17,1,0.1599
109,2022-10-18,1,0.1599
110,2022-10-19,1,0.1838
111,2022-10-20,1,0.1599
112,2022-10-21,1,0.1599
