Date,Q
2020-12-01,259.577
2020-12-02,253.842
2020-12-03,246.886
2020-12-04,239.363
2020-12-05,231.91
2020-12-06,223.916
2020-12-07,214.193
2020-12-08,205.196
2020-12-09,198.672
2020-12-10,193.967
2020-12-11,191.627
2020-12-12,190.461
2020-12-13,191.627
2020-12-14,196.315
2020-12-15,201.037
2020-12-16,205.196
2020-12-17,206.986
2020-12-18,206.986
2020-12-19,205.792
2020-12-20,206.986
2020-12-21,206.389
2020-12-22,204.6
2020-12-23,204.6
2020-12-24,205.196
2020-12-25,208.781
2020-12-26,212.385
2020-12-27,218.431
2020-12-28,222.693
2020-12-29,226.981
2020-12-30,229.441
2020-12-31,230.058
2020-11-01,172.652
2020-11-02,182.929
2020-11-03,188.714
2020-11-04,196.904
2020-11-05,207.584
2020-11-06,216.612
2020-11-07,224.528
2020-11-08,231.91
2020-11-09,239.363
2020-11-10,244.999
2020-11-11,250.041
2020-11-12,255.114
2020-11-13,258.938
2020-11-14,263.421
2020-11-15,264.064
2020-11-16,262.138
2020-11-17,253.842
2020-11-18,243.743
2020-11-19,242.489
2020-11-20,239.363
2020-11-21,237.493
2020-11-22,243.743
2020-11-23,246.886
2020-11-24,250.041
2020-11-25,251.306
2020-11-26,251.939
2020-11-27,255.75
2020-11-28,259.577
2020-11-29,261.497
2020-11-30,262.138
2020-10-01,150.465
2020-10-02,149.922
2020-10-03,148.838
2020-10-04,147.756
2020-10-05,146.677
2020-10-06,145.6
2020-10-07,145.062
2020-10-08,143.453
2020-10-09,141.849
2020-10-10,140.783
2020-10-11,140.783
2020-10-12,142.918
2020-10-13,145.062
2020-10-14,148.838
2020-10-15,153.188
2020-10-16,155.926
2020-10-17,157.025
2020-10-18,157.575
2020-10-19,156.475
2020-10-20,154.829
2020-10-21,151.552
2020-10-22,148.296
2020-10-23,146.138
2020-10-24,145.6
2020-10-25,145.6
2020-10-26,146.138
2020-10-27,151.552
2020-10-28,154.829
2020-10-29,155.926
2020-10-30,159.783
2020-10-31,163.668
2020-09-01,156.475
2020-09-02,156.475
2020-09-03,155.926
2020-09-04,154.281
2020-09-05,154.281
2020-09-06,154.281
2020-09-07,154.281
2020-09-08,154.281
2020-09-09,154.281
2020-09-10,153.188
2020-09-11,153.188
2020-09-12,153.188
2020-09-13,153.188
2020-09-14,153.188
2020-09-15,154.281
2020-09-16,153.188
2020-09-17,153.188
2020-09-18,153.188
2020-09-19,152.642
2020-09-20,152.097
2020-09-21,152.097
2020-09-22,152.097
2020-09-23,152.097
2020-09-24,151.552
2020-09-25,151.008
2020-09-26,149.922
2020-09-27,149.922
2020-09-28,149.922
2020-09-29,150.465
2020-09-30,151.008
2020-08-01,169.829
2020-08-02,169.266
2020-08-03,167.581
2020-08-04,167.581
2020-08-05,167.581
2020-08-06,167.02
2020-08-07,166.46
2020-08-08,166.46
2020-08-09,165.901
2020-08-10,165.342
2020-08-11,165.901
2020-08-12,166.46
2020-08-13,165.901
2020-08-14,165.342
2020-08-15,165.342
2020-08-16,165.342
2020-08-17,165.342
2020-08-18,165.342
2020-08-19,164.783
2020-08-20,164.225
2020-08-21,163.111
2020-08-22,163.111
2020-08-23,162.555
2020-08-24,162.0
2020-08-25,160.89
2020-08-26,159.783
2020-08-27,158.678
2020-08-28,157.575
2020-08-29,157.575
2020-08-30,157.575
2020-08-31,156.475
2020-07-01,185.815
2020-07-02,185.237
2020-07-03,184.082
2020-07-04,182.929
2020-07-05,181.779
2020-07-06,181.204
2020-07-07,181.204
2020-07-08,181.204
2020-07-09,180.63
2020-07-10,180.057
2020-07-11,178.911
2020-07-12,178.911
2020-07-13,178.911
2020-07-14,178.34
2020-07-15,177.769
2020-07-16,176.628
2020-07-17,175.489
2020-07-18,174.921
2020-07-19,174.353
2020-07-20,174.353
2020-07-21,173.785
2020-07-22,173.219
2020-07-23,173.219
2020-07-24,172.087
