,Pr
1985-01-31,416.3
1985-02-28,83.3
1985-03-31,135.5
1985-04-30,84.69999999999999
1985-05-31,15.8
1985-06-30,0.2
1985-07-31,0.0
1985-08-31,0.0
1985-09-30,81.60000000000001
1985-10-31,156.79999999999998
1985-11-30,198.0
1985-12-31,431.9
1986-01-31,299.8
1986-02-28,95.0
1986-03-31,103.0
1986-04-30,147.1
1986-05-31,0.4
1986-06-30,0.0
1986-07-31,3.3
1986-08-31,16.0
1986-09-30,4.2
1986-10-31,306.4
1986-11-30,28.7
1986-12-31,173.9
1987-01-31,34.0
1987-02-28,27.0
1987-03-31,272.2
1987-04-30,94.39999999999999
1987-05-31,49.0
1987-06-30,0.0
1987-07-31,1.5
1987-08-31,0.0
1987-09-30,9.2
1987-10-31,28.6
1987-11-30,221.1
1987-12-31,241.60000000000002
1988-01-31,211.0
1988-02-29,96.4
1988-03-31,197.79999999999998
1988-04-30,43.8
1988-05-31,2.0
1988-06-30,0.0
1988-07-31,0.0
1988-08-31,0.0
1988-09-30,0.8
1988-10-31,99.9
1988-11-30,147.2
1988-12-31,298.6
1989-01-31,26.3
1989-02-28,116.3
1989-03-31,77.3
1989-04-30,93.60000000000001
1989-05-31,21.5
1989-06-30,6.0
1989-07-31,0.0
1989-08-31,2.4
1989-09-30,45.9
1989-10-31,42.6
1989-11-30,278.2
1989-12-31,632.0
1990-01-31,25.6
1990-02-28,
1990-03-31,
1990-04-30,9.3
1990-05-31,22.0
1990-06-30,0.0
1990-07-31,7.3999999999999995
1990-08-31,2.6
1990-09-30,8.4
1990-10-31,64.9
1990-11-30,145.5
1990-12-31,83.3
1991-01-31,220.9
1991-02-28,62.3
1991-03-31,206.1
1991-04-30,41.800000000000004
1991-05-31,2.8
1991-06-30,0.0
1991-07-31,0.8
1991-08-31,0.0
1991-09-30,11.600000000000001
1991-10-31,13.7
1991-11-30,
1991-12-31,120.6
1992-01-31,429.70000000000005
1992-02-29,190.7
1992-03-31,37.9
1992-04-30,104.4
1992-05-31,1.1
1992-06-30,0.0
1992-07-31,0.0
1992-08-31,0.0
1992-09-30,30.0
1992-10-31,72.1
1992-11-30,336.4
1992-12-31,255.2
1993-01-31,31.4
1993-02-28,112.9
1993-03-31,23.8
1993-04-30,33.2
1993-05-31,25.7
1993-06-30,0.0
1993-07-31,0.0
1993-08-31,1.0
1993-09-30,11.9
1993-10-31,40.9
1993-11-30,110.30000000000001
1993-12-31,109.0
1994-01-31,
1994-02-28,105.8
1994-03-31,323.4
1994-04-30,82.30000000000001
1994-05-31,0.6
1994-06-30,7.0
1994-07-31,0.1
1994-08-31,0.0
1994-09-30,0.0
1994-10-31,38.2
1994-11-30,194.29999999999998
1994-12-31,184.8
1995-01-31,99.7
1995-02-28,171.20000000000002
1995-03-31,146.0
1995-04-30,41.6
1995-05-31,98.7
1995-06-30,0.0
1995-07-31,0.0
1995-08-31,0.0
1995-09-30,0.0
1995-10-31,63.6
1995-11-30,229.79999999999998
1995-12-31,368.6
1996-01-31,46.0
1996-02-29,60.199999999999996
1996-03-31,130.5
1996-04-30,70.10000000000001
1996-05-31,8.7
1996-06-30,0.0
1996-07-31,0.0
1996-08-31,0.0
1996-09-30,0.0
1996-10-31,50.7
1996-11-30,235.5
1996-12-31,
1997-01-31,255.2
1997-02-28,71.3
1997-03-31,375.5
1997-04-30,147.2
1997-05-31,22.7
1997-06-30,3.9
1997-07-31,0.0
1997-08-31,0.0
1997-09-30,4.9
1997-10-31,78.30000000000001
1997-11-30,33.5
1997-12-31,160.9
1998-01-31,175.5
1998-02-28,213.2
1998-03-31,74.3
1998-04-30,0.0
1998-05-31,15.200000000000001
1998-06-30,6.2
1998-07-31,0.0
1998-08-31,0.0
1998-09-30,0.0
1998-10-31,40.9
1998-11-30,174.7
1998-12-31,203.3
1999-01-31,113.0
1999-02-28,196.0
1999-03-31,126.0
1999-04-30,0.0
1999-05-31,9.3
1999-06-30,0.0
1999-07-31,0.0
1999-08-31,0.0
1999-09-30,9.5
1999-10-31,154.8
1999-11-30,315.5
1999-12-31,248.9
2000-01-31,194.7
2000-02-29,
2000-03-31,95.5
2000-04-30,72.9
2000-05-31,11.0
2000-06-30,0.0
2000-07-31,0.0
2000-08-31,0.0
2000-09-30,36.1
2000-10-31,13.2
2000-11-30,293.9
2000-12-31,213.6
2001-01-31,18.0
2001-02-28,39.2
2001-03-31,169.9
2001-04-30,22.599999999999998
2001-05-31,3.2
2001-06-30,0.0
2001-07-31,0.0
2001-08-31,0.0
2001-09-30,2.4
2001-10-31,107.0
2001-11-30,145.5
2001-12-31,229.6
2002-01-31,257.1
2002-02-28,100.9
2002-03-31,50.3
2002-04-30,46.6
2002-05-31,28.6
2002-06-30,0.0
2002-07-31,13.7
2002-08-31,0.0
2002-09-30,42.5
2002-10-31,32.7
2002-11-30,63.900000000000006
2002-12-31,304.2
2003-01-31,150.0
2003-02-28,87.6
2003-03-31,140.0
2003-04-30,102.7
2003-05-31,8.4
2003-06-30,0.0
2003-07-31,0.0
2003-08-31,12.0
2003-09-30,12.0
2003-10-31,19.8
2003-11-30,144.0
2003-12-31,122.5
2004-01-31,366.09999999999997
2004-02-29,219.10000000000002
2004-03-31,211.2
2004-04-30,24.9
2004-05-31,0.0
2004-06-30,0.0
2004-07-31,0.0
2004-08-31,0.0
2004-09-30,3.6
2004-10-31,84.0
2004-11-30,121.2
2004-12-31,153.9
2005-01-31,219.7
2005-02-28,184.1
2005-03-31,92.8
2005-04-30,54.0
2005-05-31,65.5
2005-06-30,0.0
2005-07-31,0.0
2005-08-31,0.0
2005-09-30,15.600000000000001
2005-10-31,14.5
2005-11-30,127.5
2005-12-31,199.5
2006-01-31,67.9
2006-02-28,106.0
2006-03-31,256.2
2006-04-30,145.4
2006-05-31,65.2
2006-06-30,0.0
2006-07-31,0.0
2006-08-31,3.2
2006-09-30,21.799999999999997
2006-10-31,147.7
2006-11-30,152.0
2006-12-31,164.6
2007-01-31,66.4
2007-02-28,303.4
2007-03-31,42.5
2007-04-30,18.7
2007-05-31,12.3
2007-06-30,0.0
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,0.0
2007-10-31,22.7
2007-11-30,89.9
2007-12-31,97.9
2008-01-31,209.20000000000002
2008-02-29,147.9
2008-03-31,
2008-04-30,104.6
2008-05-31,6.7
2008-06-30,0.0
2008-07-31,0.0
2008-08-31,0.0
2008-09-30,6.1
2008-10-31,0.7
2008-11-30,119.4
2008-12-31,193.10000000000002
2009-01-31,133.5
2009-02-28,72.0
2009-03-31,122.4
2009-04-30,197.3
2009-05-31,
2009-06-30,57.5
2009-07-31,0.0
2009-08-31,0.0
2009-09-30,5.6
2009-10-31,207.3
2009-11-30,58.300000000000004
2009-12-31,302.7
2010-01-31,80.3
2010-02-28,104.8
2010-03-31,216.1
2010-04-30,99.30000000000001
2010-05-31,9.4
2010-06-30,0.0
2010-07-31,0.0
2010-08-31,0.0
2010-09-30,0.0
2010-10-31,103.7
2010-11-30,106.7
2010-12-31,227.8
2011-01-31,198.0
2011-02-28,129.8
2011-03-31,185.9
2011-04-30,21.9
2011-05-31,1.4
2011-06-30,0.0
2011-07-31,0.0
2011-08-31,0.0
2011-09-30,0.0
2011-10-31,174.6
2011-11-30,209.8
2011-12-31,238.0
2012-01-31,107.5
2012-02-29,57.699999999999996
2012-03-31,47.4
2012-04-30,6.1000000000000005
2012-05-31,9.8
2012-06-30,1.2
2012-07-31,0.0
2012-08-31,0.0
2012-09-30,0.6
2012-10-31,15.7
2012-11-30,286.0
2012-12-31,34.3
2013-01-31,306.4
2013-02-28,49.7
2013-03-31,111.19999999999999
2013-04-30,81.8
2013-05-31,4.2
2013-06-30,0.0
2013-07-31,0.0
2013-08-31,0.6
2013-09-30,5.9
2013-10-31,52.300000000000004
2013-11-30,182.3
2013-12-31,253.9
2014-01-31,28.7
2014-02-28,122.4
2014-03-31,94.30000000000001
2014-04-30,97.8
2014-05-31,1.8
2014-06-30,0.0
2014-07-31,0.0
2014-08-31,0.0
2014-09-30,6.8999999999999995
2014-10-31,24.9
2014-11-30,149.0
2014-12-31,285.4
2015-01-31,166.9
2015-02-28,107.5
2015-03-31,132.7
2015-04-30,140.3
2015-05-31,15.1
2015-06-30,0.0
2015-07-31,0.0
2015-08-31,0.0
2015-09-30,0.0
2015-10-31,
2015-11-30,119.3
2015-12-31,23.1
2016-01-31,588.1
2016-02-29,10.9
2016-03-31,79.2
2016-04-30,9.1
2016-05-31,3.6
2016-06-30,5.2
2016-07-31,0.0
2016-08-31,0.0
2016-09-30,18.6
2016-10-31,90.9
2016-11-30,85.8
2016-12-31,119.2
2017-01-31,23.3
2017-02-28,237.20000000000002
2017-03-31,135.5
2017-04-30,35.0
2017-05-31,3.7
2017-06-30,0.0
2017-07-31,
2017-08-31,0.0
2017-09-30,0.0
2017-10-31,0.0
2017-11-30,105.6
2017-12-31,226.0
2018-01-31,106.3
2018-02-28,237.1
2018-03-31,177.9
2018-04-30,68.9
2018-05-31,0.0
2018-06-30,0.0
2018-07-31,0.0
2018-08-31,0.8999999999999999
2018-09-30,0.2
2018-10-31,33.5
2018-11-30,
2018-12-31,227.1
2019-01-31,47.2
2019-02-28,174.2
2019-03-31,235.3
2019-04-30,51.89999999999999
2019-05-31,36.5
2019-06-30,0.0
2019-07-31,0.0
2019-08-31,0.0
2019-09-30,2.7
2019-10-31,38.5
2019-11-30,92.8
2019-12-31,80.4
2020-01-31,205.2
2020-02-29,165.4
2020-03-31,266.5
2020-04-30,144.4
2020-05-31,21.8
2020-06-30,0.0
2020-07-31,0.0
2020-08-31,0.0
2020-09-30,0.0
2020-10-31,29.700000000000003
2020-11-30,187.7
2020-12-31,142.5
2021-01-31,95.60000000000001
2021-02-28,260.4
2021-03-31,43.2
2021-04-30,199.9
2021-05-31,0.0
2021-06-30,1.0
2021-07-31,0.0
2021-08-31,0.0
2021-09-30,4.300000000000001
2021-10-31,95.8
2021-11-30,200.4
2021-12-31,534.1999999999999
