TipoEstaca;Codigo;Latitude;Longitude
1;45740000;-13.2833;-44.5667
1;45890000;-13.5167;-44.2667
1;45910000;-13.4;-44.2
1;45910001;-13.4006;-44.1989
1;46780000;-11.0914;-45.9086
1;46790000;-11.0514;-45.1969
1;46420000;-12.8053;-45.9661
1;46455000;-12.4106;-45.1222
1;46870000;-11.2356;-43.9494
1;46720000;-11.1667;-46.1167
1;46460000;-12.3833;-45.1
1;46784000;-11.7714;-45.6019
1;45740001;-13.2853;-44.5617
1;45760000;-13.7372;-45.4639
1;45770000;-13.4528;-44.5689
1;45580000;-13.5228;-45.4003
1;46520000;-12.1944;-45.4897
1;46530000;-12.2872;-45.5494
1;46543000;-12.1358;-45.1033
1;46555000;-12.23;-44.9325
1;46550000;-12.1525;-45.0094
1;46590000;-11.8561;-45.12
1;46570000;-11.8953;-45.6081
1;45880000;-13.5586;-44.3031
1;46572000;-11.9131;-45.3572
1;45890001;-13.4833;-44.2667
1;45910002;-13.4;-44.2
1;46620001;-11.8333;-44.7333
1;46540000;-12.1167;-45.0833
1;46543001;-12.1167;-45.0667
1;46545000;-12.1167;-45.05
1;46515000;-12.1667;-44.9833
1;46550001;-12.15;-45
1;46551000;-12.1333;-44.9833
1;46610001;-11.9833;-44.8833
1;46590001;-11.8667;-45.1333
1;46591000;-11.8667;-45.0833
1;46593001;-11.9833;-44.9667
1;46570001;-11.9167;-45.65
1;46571000;-11.9167;-45.6333
1;46790001;-11.0667;-45.1833
1;46810000;-11.0167;-44.9333
1;46770001;-11;-45.5333
1;46780800;-11.1133;-45.4825
1;46438000;-12.4692;-45.2706
1;46439000;-12.5011;-45.2956
1;46470000;-12.4208;-44.8453
1;46410000;-12.7486;-45.1353
1;45830000;-14.3972;-45.5186
1;46541000;-12.1169;-45.0681
1;46542000;-12.1161;-45.0875
1;46552000;-12.1483;-45.0033
1;46583000;-11.7869;-45.61
1;46755100;-11.7125;-45.7625
1;46760000;-11.8069;-45.1906
1;46560500;-11.8469;-45.2069
1;46571100;-11.8983;-45.6106
1;46571500;-11.9925;-45.58
1;46783000;-10.6092;-45.8242
1;46775000;-11.0219;-45.5272
1;51135900;-11.0542;-45.2019
1;46781800;-11.23;-45.43
1;46782000;-11.2114;-45.4108
1;45900000;-13.4014;-44.1981
1;45354000;-12.7611;-43.9256
1;46527000;-12.8317;-45.3061
1;46416000;-12.6889;-45.9283
1;46417000;-12.6897;-45.8508
1;46430000;-12.4875;-45.8878
1;46440000;-12.4722;-45.2514
1;46454800;-12.61;-45.3064
1;46431000;-12.7978;-45.5631
1;46425000;-12.49;-45.2003
1;46469000;-12.4178;-44.7892
1;46553000;-12.12;-44.9681
1;46869000;-11.2364;-43.9475
1;46528000;-12.3769;-45.865
1;46528500;-12.1186;-45.8122
1;46529500;-12.3769;-45.865
1;46529000;-12.2994;-45.8492
1;46450000;-12.45;-45.2
1;46455001;-12.4167;-45.15
1;46460001;-12.3833;-45.1
1;46490001;-12.4;-44.95
1;46495001;-12.3667;-44.9667
1;46510000;-12.3833;-44.8333
1;46415001;-12.4333;-45.0833
1;46465000;-12.3667;-45.05
1;46466000;-12.35;-45.0333
1;46650001;-11.7333;-44.5167
1;46660000;-11.8;-44.3333
1;46675001;-11.5833;-44.15
1;46690000;-11.4667;-43.9833
1;45960002;-13.3;-43.9167
1;45980000;-13.2;-43.7333
1;46409990;-12.76;-45.1489
1;46411000;-12.6422;-45.0836
1;46413000;-12.5169;-45.0967
1;46610000;-11.9794;-44.8772
1;45960001;-13.2914;-43.9089
1;45840000;-13.7122;-44.6383
1;46750000;-10.7917;-46.0767
1;46770000;-10.9936;-45.5278
1;45930000;-13.2;-44.15
1;46560000;-11.8;-45.2167
1;45780000;-13.4333;-44.4667
1;46592000;-11.9167;-45.0167
1;46593000;-11.9833;-44.9667
1;46582000;-11.9;-45.6167
1;46585000;-11.85;-45.35
1;46781000;-11.2628;-45.2089
1;46450500;-12.4675;-45.2186
1;46451000;-12.4525;-45.1903
1;46452080;-12.4517;-45.19
1;45960003;-13.2931;-43.9086
1;46490000;-12.4044;-44.9531
1;46561000;-11.9506;-45.4386
1;46561500;-11.9925;-45.58
1;46569000;-11.9158;-45.6614
1;46570300;-11.8731;-45.9019
1;46570500;-11.9033;-45.6967
1;46755000;-11.8764;-45.9128
1;45861000;-14.5694;-45.7261
1;45862000;-14.225;-45.3089
1;45863000;-14.3972;-45.5197
1;45850000;-13.9875;-45.3881
1;45853000;-14.2186;-45.6428
1;45854000;-14.3839;-45.8394
1;46903000;-11.3453;-43.8264
1;46834900;-11.0194;-44.5069
1;51135800;-11.0194;-44.5069
1;45764900;-13.6547;-45.0697
1;45894000;-13.34;-44.6364
1;45895000;-13.3986;-44.3367
1;45700000;-12.9967;-44.8053
1;46400000;-13.0014;-45.6308
1;46415000;-12.4306;-45.0856
1;46902000;-11.345;-43.8261
1;46650000;-11.7208;-44.5022
1;46675000;-11.6106;-44.1567
1;45586000;-13.3406;-44.6858
1;45588000;-13.3408;-44.6414
1;45595000;-13.3389;-44.6328
1;45600000;-13.3344;-44.6208
1;46453000;-12.4456;-45.1656
1;46453500;-12.4286;-45.1528
1;46620000;-11.8333;-44.7333
1;45960000;-13.3;-43.9
1;45840001;-13.7167;-44.65
1;46870001;-11.2167;-43.9833
1;46902001;-11.3333;-43.85
1;45880001;-13.5833;-44.3167
1;46815000;-11;-44.85
1;46835000;-11.0167;-44.5
1;46845000;-11.05;-44.3667
1;46860000;-11.1167;-44.25
1;45770001;-13.4833;-44.6167
1;45790000;-13.4167;-44.3667
1;45590001;-13.3333;-44.6167
1;45810000;-13.6581;-44.6047
1;46830000;-11.0058;-44.5242
1;45765000;-13.6328;-45.0064
1;45690000;-13.0692;-45.0439
1;45701000;-13.2211;-45.1525
1;46595000;-12.0061;-44.9428
1;46120100;-12.4625;-43.8458
